"ACQDATE","ACQYEAR","ASSISTED_PAYOUT_FLAG","BANK_INSURED","CERT","CHANGECODE","CHANGECODE_DESC","CHANGECODE_DESC_LONG","CHARTAGENT","CHARTER_COM_TO_OTHER_FLAG","CHARTER_COM_TO_OTS_FLAG","CHARTER_OTHER_TO_COM_FLAG","CHARTER_OTS_TO_COM_FLAG","CLASS","CLASS_CHANGE_FLAG","CLASS_TYPE","CLASS_TYPE_DESC","CLCODE","CNTYNAME","CNTYNUM","EFFDATE","EFFYEAR","ENDDATE","ENDYEAR","ESTDATE","ESTYEAR","FAILED_COM_TO_COM_FLAG","FAILED_OTHER_TO_COM_FLAG","FAILED_OTS_TO_COM_FLAG","FAILED_OTS_TO_OTS_FLAG","FAILED_RTC_FLAG","FDICREGION","FDICREGION_DESC","FI_EFFDATE","FI_UNINUM","FRM_CERT","FRM_CHARTAGENT","FRM_CLASS","FRM_CLASS_TYPE","FRM_CLASS_TYPE_DESC","FRM_CLCODE","FRM_CNTYNAME","FRM_CNTYNUM","FRM_INSAGENT1","FRM_INSTNAME","FRM_ORGTYPE","FRM_ORGTYPE_NUM","FRM_PADDR","FRM_PADDR2","FRM_PCITY","FRM_PSTALP","FRM_PSTNUM","FRM_PZIP5","FRM_PZIPREST","FRM_REGAGENT","FRM_TRUST","ID","INSAGENT1","INSAGENT1_CHANGE_FLAG","INSAGENT2","INSTNAME","INSURED_COM_FLAG","INSURED_OTS_FLAG","LATITUDE","LONGITUDE","MADDR","MADDR2","MCITY","MSTALP","MSTATE","MZIP5","MZIPREST","NEW_CHARTER_DENOVO_FLAG","NEW_CHARTER_FLAG","OFF_CNTYNUM","OFF_NUM","ORGTYPE","ORGTYPE_NUM","ORG_ROLE_CDE","ORG_STAT_FLG","PADDR","PADDR2","PCITY","PROCDATE","PROCYEAR","PSTALP","PZIP5","PZIPREST","REGAGENT","REGAGENT_CHANGE_FLAG","RELOCATE_FLAG","REPORT_TYPE","SERVTYPE","SERVTYPE_DESC","STATE","STNUM","TRANSNUM","TRUST","UNASSIST_COM_TO_COM_FLAG","UNASSIST_COM_TO_OTS_FLAG","UNASSIST_OTHER_TO_COM_FLAG","UNASSIST_OTS_TO_COM_FLAG","UNASSIST_OTS_TO_OTS_FLAG","UNINUM","VOLUNTARY_LIQUIDATION_FLAG","WITHDRAW_INSURANCE_COM_FLAG","ACQ_BRANCHES","ACQ_BRANCHES_HREF"
"1995-09-17T00:00:00","1995","0","Y","27496","820","PARTICIPATED IN REORGANIZATION","Reorganized banking operations.","STATE","0","0","0","0","NM","0","C","Commercial","21","COLLETON","29","1995-08-24T00:00:00","1995","1990-04-19T00:00:00","1990","1989-05-01T00:00:00","1989","0","0","0","0","0","5","ATLANTA","","0","27496","STATE","NM","C","Commercial","21","COLLETON","29","BIF","Bank of Walterboro","COMMERCIAL BANK","10","1002 NORTH JEFFERIES BOULEVARD","","WALTERBORO","SC","45","29488","0000","FDIC","","200001363_820_40225__","BIF","0","","Bank of Walterboro","0","0","32.915257","-80.667499","P. O. BOX 1707","","WALTERBORO","SC","SOUTH CAROLINA","29488","2730","0","0","0","0","COMMERCIAL BANK","10","FI","N","1002 NORTH JEFFERIES BOULEVARD","","WALTERBORO","2000-03-13T00:00:00","2000","SC","29488","0000","FDIC","0","0","820","11","FULL SERVICE - BRICK AND MORTAR","SOUTH CAROLINA","45","200001363","","0","0","0","0","0","40225","0","0","",""
"2000-12-14T00:00:00","2000","0","Y","33140","820","PARTICIPATED IN REORGANIZATION","Reorganized banking operations.","STATE","0","0","0","0","NM","0","C","Commercial","21","LEON","73","1997-03-03T00:00:00","1997","1995-08-14T00:00:00","1995","1990-10-15T00:00:00","1990","0","0","0","0","0","5","ATLANTA","","0","33140","STATE","NM","C","Commercial","21","LEON","73","BIF","First Bank","COMMERCIAL BANK","10","1997 CAPITAL CIRCLE, N.E.","","TALLAHASSEE","FL","12","32308","0000","FDIC","","200001364_820_46375__","BIF","0","","First Bank","0","0","30.478087","-84.236439","P.O. BOX 13175","","TALLAHASSEE","FL","FLORIDA","32317","3175","0","0","0","0","COMMERCIAL BANK","10","FI","N","1997 CAPITAL CIRCLE, N.E.","","TALLAHASSEE","2000-03-13T00:00:00","2000","FL","32308","0000","FDIC","0","0","820","11","FULL SERVICE - BRICK AND MORTAR","FLORIDA","12","200001364","","0","0","0","0","0","46375","0","0","",""
"2006-03-29T00:00:00","2006","0","Y","22954","820","PARTICIPATED IN REORGANIZATION","Reorganized banking operations.","STATE","0","0","0","0","NM","0","C","Commercial","21","MONONGALIA","61","1997-12-30T00:00:00","1997","1991-11-27T00:00:00","1991","1979-09-20T00:00:00","1979","0","0","0","0","0","5","ATLANTA","","0","22954","STATE","NM","C","Commercial","21","MONONGALIA","61","BIF","Citizens Bank of Morgantown, Inc.","COMMERCIAL BANK","10","265 HIGH STREET","","MORGANTOWN","WV","54","26505","0000","FDIC","","200001366_820_16060__","BIF","0","","Citizens Bank of Morgantown, Inc.","0","0","39.62954","-79.956263","P.O. BOX  735","","MORGANTOWN","WV","WEST VIRGINIA","26505","0000","0","0","0","0","COMMERCIAL BANK","10","FI","N","265 HIGH STREET","","MORGANTOWN","2000-03-13T00:00:00","2000","WV","26505","0000","FDIC","0","0","820","11","FULL SERVICE - BRICK AND MORTAR","WEST VIRGINIA","54","200001366","","0","0","0","0","0","16060","0","0","",""
"2006-03-29T00:00:00","2006","0","Y","26428","820","PARTICIPATED IN REORGANIZATION","Reorganized banking operations.","STATE","0","0","0","0","NM","0","C","Commercial","21","HIGHLANDS","55","1998-04-01T00:00:00","1998","1992-11-16T00:00:00","1992","1985-11-01T00:00:00","1985","0","0","0","0","0","5","ATLANTA","","0","26428","STATE","NM","C","Commercial","21","HIGHLANDS","55","BIF","Highlands Independent Bank","COMMERCIAL BANK","10","2600 U.S. HIGHWAY 27, NORTH","","SEBRING","FL","12","33871","0000","FDIC","","200001368_820_33047__","BIF","0","","Highlands Independent Bank","0","0","0","0","P.O. BOX 2027","","SEBRING","FL","FLORIDA","33871","2027","0","0","0","0","COMMERCIAL BANK","10","FI","N","2600 U.S. HIGHWAY 27, NORTH","","SEBRING","2000-03-13T00:00:00","2000","FL","33871","0000","FDIC","0","0","820","11","FULL SERVICE - BRICK AND MORTAR","FLORIDA","12","200001368","","0","0","0","0","0","33047","0","0","",""
"1998-09-18T00:00:00","1998","0","Y","33700","820","PARTICIPATED IN REORGANIZATION","Reorganized banking operations.","STATE","0","0","0","0","NM","0","C","Commercial","21","DALLAS","113","1998-09-18T00:00:00","1998","1992-10-01T00:00:00","1992","1992-10-01T00:00:00","1992","0","0","0","0","0","5","ATLANTA","","0","33700","STATE","NM","C","Commercial","21","DALLAS","113","BIF","FIRSTBANK","COMMERCIAL BANK","10","15150 PRESTON ROAD","","DALLAS","TX","48","75248","0000","FDIC","","200001370_820_47808__","BIF","0","","FIRSTBANK","0","0","32.954478","-96.803124","15150 PRESTON ROAD","","DALLAS","TX","TEXAS","75248","0000","0","0","0","0","COMMERCIAL BANK","10","FI","Y","15150 PRESTON ROAD","","DALLAS","2000-03-13T00:00:00","2000","TX","75248","0000","FDIC","0","0","820","11","FULL SERVICE - BRICK AND MORTAR","TEXAS","48","200001370","","0","0","0","0","0","47808","0","0","",""
"1999-11-04T00:00:00","1999","0","Y","45","820","PARTICIPATED IN REORGANIZATION","Reorganized banking operations.","STATE","0","0","0","0","NM","0","C","Commercial","21","JACKSON","71","1998-09-30T00:00:00","1998","1994-05-20T00:00:00","1994","1909-01-01T00:00:00","1909","0","0","0","0","0","5","ATLANTA","","0","45","STATE","NM","C","Commercial","21","JACKSON","71","BIF","Jacobs Bank","COMMERCIAL BANK","10","510 EAST LAUREL STREET","","SCOTTSBORO","AL","1","35768","0000","FDIC","Full","200001371_820_26__","BIF","0","SAIF","Jacobs Bank","0","0","34.672687","-86.028794","510 EAST LAUREL STREET","","SCOTTSBORO","AL","ALABAMA","35768","0000","0","0","0","0","COMMERCIAL BANK","10","FI","N","510 EAST LAUREL STREET","","SCOTTSBORO","2000-03-13T00:00:00","2000","AL","35768","0000","FDIC","0","0","820","11","FULL SERVICE - BRICK AND MORTAR","ALABAMA","1","200001371","Full","0","0","0","0","0","26","0","0","",""
"2006-03-29T00:00:00","2006","0","Y","27067","820","PARTICIPATED IN REORGANIZATION","Reorganized banking operations.","STATE","0","0","0","0","NM","0","C","Commercial","21","WAKULLA","129","1998-10-16T00:00:00","1998","1998-07-08T00:00:00","1998","1987-10-13T00:00:00","1987","0","0","0","0","0","5","ATLANTA","","0","27067","STATE","NM","C","Commercial","21","WAKULLA","129","BIF","Citizens Bank Wakulla","COMMERCIAL BANK","10","2628 CRAWFORDVILLE HIGHWAY","","CRAWFORDVILLE","FL","12","32326","1240","FDIC","","200001374_820_38670__","BIF","0","","Citizens Bank Wakulla","0","0","30.193439","-84.371544","P.O. BOX 1240","","CRAWFORDVILLE","FL","FLORIDA","32327","0000","0","0","0","0","COMMERCIAL BANK","10","FI","N","2628 CRAWFORDVILLE HIGHWAY","","CRAWFORDVILLE","2000-03-13T00:00:00","2000","FL","32326","1240","FDIC","0","0","820","11","FULL SERVICE - BRICK AND MORTAR","FLORIDA","12","200001374","","0","0","0","0","0","38670","0","0","",""
"2005-11-22T00:00:00","2005","0","Y","13832","820","PARTICIPATED IN REORGANIZATION","Reorganized banking operations.","STATE","0","0","0","0","NM","0","C","Commercial","21","COOK","75","1998-12-31T00:00:00","1998","1907-06-25T00:00:00","1907","1907-06-25T00:00:00","1907","0","0","0","0","0","5","ATLANTA","","0","13832","STATE","NM","C","Commercial","21","COOK","75","BIF","Bank of Lenox","COMMERCIAL BANK","10","CENTRAL AVENUE","","LENOX","GA","13","31637","0000","FDIC","","200001375_820_8646__","BIF","0","","Bank of Lenox","0","0","0","0","P.O. BOX  8","","LENOX","GA","GEORGIA","31637","0000","0","0","0","0","COMMERCIAL BANK","10","FI","N","CENTRAL AVENUE","","LENOX","2000-03-13T00:00:00","2000","GA","31637","0000","FDIC","0","0","820","11","FULL SERVICE - BRICK AND MORTAR","GEORGIA","13","200001375","","0","0","0","0","0","8646","0","0","",""
"2000-08-30T00:00:00","2000","0","Y","5994","820","PARTICIPATED IN REORGANIZATION","Reorganized banking operations.","STATE","0","0","0","0","NM","0","C","Commercial","21","OKLAHOMA","109","1999-09-20T00:00:00","1999","1996-11-12T00:00:00","1996","1909-01-01T00:00:00","1909","0","0","0","0","0","13","DALLAS","","0","5994","STATE","NM","C","Commercial","21","LOGAN","83","BIF","Oklahoma State Bank","COMMERCIAL BANK","10","2610 SOUTH DIVISION AVENUE","","GUTHRIE","OK","40","73044","0000","FDIC","","200001380_820_4062__","BIF","0","","Oklahoma State Bank","0","0","0","0","P.O. BOX 720420","","NORMAN","OK","OKLAHOMA","73072","0420","0","0","0","0","COMMERCIAL BANK","10","FI","N","14909 NORTH KELLY AVENUE","","OKLAHOMA CITY","2000-03-14T00:00:00","2000","OK","73114","0000","FDIC","0","0","820","11","FULL SERVICE - BRICK AND MORTAR","OKLAHOMA","40","200001380","","0","0","0","0","0","4062","0","0","",""
"2006-03-29T00:00:00","2006","0","Y","24763","820","PARTICIPATED IN REORGANIZATION","Reorganized banking operations.","OCC","0","0","0","0","N","0","C","Commercial","3","PANOLA","365","2000-01-21T00:00:00","2000","1983-10-06T00:00:00","1983","1983-10-06T00:00:00","1983","0","0","0","0","0","13","DALLAS","","0","24763","OCC","N","C","Commercial","3","PANOLA","365","BIF","Panola National Bank","COMMERCIAL BANK","10","1510 WEST PANOLA","","CARTHAGE","TX","48","75633","0000","OCC","","200001385_820_17187__","BIF","0","","Panola National Bank","0","0","32.160086","-94.365405","P.O. BOX  1139","","CARTHAGE","TX","TEXAS","75633","0000","0","0","0","0","COMMERCIAL BANK","10","FI","N","1510 WEST PANOLA","","CARTHAGE","2000-03-14T00:00:00","2000","TX","75633","0000","OCC","0","0","820","11","FULL SERVICE - BRICK AND MORTAR","TEXAS","48","200001385","","0","0","0","0","0","17187","0","0","",""
"2001-12-23T00:00:00","2001","0","Y","11088","820","PARTICIPATED IN REORGANIZATION","Reorganized banking operations.","STATE","0","0","0","0","NM","0","C","Commercial","21","PUTNAM","137","2000-01-31T00:00:00","2000","1996-03-11T00:00:00","1996","1924-02-29T00:00:00","1924","0","0","0","0","0","9","CHICAGO","","0","11088","STATE","NM","C","Commercial","21","PUTNAM","137","BIF","The Bank of Leipsic Company","COMMERCIAL BANK","10","MAIN STREET","","LEIPSIC","OH","39","45856","0000","FDIC","","200001386_820_7087__","BIF","0","","The Bank of Leipsic Company","0","0","41.104758","-84.131267","P.O. BOX  65","","LEIPSIC","OH","OHIO","45856","0000","0","0","0","0","COMMERCIAL BANK","10","FI","N","142 MAIN STREET","","LEIPSIC","2000-03-14T00:00:00","2000","OH","45856","0000","FDIC","0","0","820","11","FULL SERVICE - BRICK AND MORTAR","OHIO","39","200001386","","0","0","0","0","0","7087","0","0","",""
"2006-03-29T00:00:00","2006","0","Y","16193","820","PARTICIPATED IN REORGANIZATION","Reorganized banking operations.","STATE","0","0","0","0","NM","0","C","Commercial","21","ROSS","141","2000-01-31T00:00:00","2000","1990-04-19T00:00:00","1990","1867-08-09T00:00:00","1867","0","0","0","0","0","9","CHICAGO","","0","16193","STATE","NM","C","Commercial","21","ROSS","141","BIF","The Rockhold, Brown & Company Bank","COMMERCIAL BANK","10","101 EAST MAIN STREET","","BAINBRIDGE","OH","39","45612","0000","FDIC","","200001387_820_10396__","BIF","0","","The Rockhold, Brown & Company Bank","0","0","39.227563","-83.270167","101 EAST MAIN STREET","","BAINBRIDGE","OH","OHIO","45612","0000","0","0","0","0","COMMERCIAL BANK","10","FI","N","101 EAST MAIN STREET","","BAINBRIDGE","2000-03-14T00:00:00","2000","OH","45612","0000","FDIC","0","0","820","11","FULL SERVICE - BRICK AND MORTAR","OHIO","39","200001387","","0","0","0","0","0","10396","0","0","",""
"2000-06-14T00:00:00","2000","0","Y","22314","820","PARTICIPATED IN REORGANIZATION","Reorganized banking operations.","OCC","0","0","0","0","N","0","C","Commercial","3","SAN FRANCISCO","75","2000-02-01T00:00:00","2000","1999-09-16T00:00:00","1999","1976-08-05T00:00:00","1976","0","0","0","0","0","14","SAN FRANCISCO","","0","22314","OCC","N","C","Commercial","3","ORANGE","59","BIF","Nextbank, National Association","COMMERCIAL BANK","10","600 ANTON BOULEVARD","","COSTA MESA","CA","6","92626","0000","OCC","","200001388_820_15523__","BIF","0","","Nextbank, National Association","0","0","37.789259","-122.401269","4129 EAST VAN BUREN, SUITE 200","","PHOENIX","AZ","ARIZONA","85008","0000","0","0","0","0","COMMERCIAL BANK","10","FI","N","595 MARKET STREET","","SAN FRANCISCO","2000-03-14T00:00:00","2000","CA","94105","0000","OCC","0","0","820","11","FULL SERVICE - BRICK AND MORTAR","CALIFORNIA","6","200001388","","0","0","0","0","0","15523","0","0","",""
