"ACQ_BRANCHES","ACQ_BRANCHES_HREF","ACQ_CERT","ACQ_CHARTAGENT","ACQ_CHARTER","ACQ_CLASS","ACQ_CLASS_TYPE","ACQ_CLASS_TYPE_DESC","ACQ_CLCODE","ACQ_CNTYNAME","ACQ_CNTYNUM","ACQ_FDICREGION","ACQ_FDICREGION_DESC","ACQ_INSAGENT1","ACQ_INSAGENT2","ACQ_INSTNAME","ACQ_LATITUDE","ACQ_LONGITUDE","ACQ_ORGTYPE_NUM","ACQ_ORG_EFF_DTE","ACQ_PADDR","ACQ_PCITY","ACQ_PSTALP","ACQ_PSTNUM","ACQ_PZIP5","ACQ_PZIPREST","ACQ_REGAGENT","ACQ_TRUST","ACQ_UNINUM","ASSISTED_PAYOUT_FLAG","BANK_INSURED","CERT","CHANGECODE","CHANGECODE_DESC","CHANGECODE_DESC_LONG","CHARTER_COM_TO_OTHER_FLAG","CHARTER_COM_TO_OTS_FLAG","CHARTER_OTHER_TO_COM_FLAG","CHARTER_OTS_TO_COM_FLAG","CLASS","CLASS_CHANGE_FLAG","CLASS_TYPE","CLASS_TYPE_DESC","EFFDATE","EFFYEAR","ENDDATE","ENDYEAR","FAILED_COM_TO_COM_FLAG","FAILED_OTHER_TO_COM_FLAG","FAILED_OTS_TO_COM_FLAG","FAILED_OTS_TO_OTS_FLAG","FAILED_RTC_FLAG","FRM_CLASS","FRM_CLASS_TYPE","FRM_CLASS_TYPE_DESC","FRM_INSAGENT1","FRM_LATITUDE","FRM_LONGITUDE","FRM_ORGTYPE_NUM","FRM_PSTALP","FRM_PSTNUM","FRM_REGAGENT","ID","INSAGENT1","INSAGENT1_CHANGE_FLAG","INSURED_COM_FLAG","INSURED_OTS_FLAG","NEW_CHARTER_DENOVO_FLAG","NEW_CHARTER_FLAG","ORGTYPE_NUM","ORG_ROLE_CDE","ORG_STAT_FLG","OUT_CERT","OUT_CHARTAGENT","OUT_CHARTER","OUT_CLASS","OUT_CLASS_TYPE","OUT_CLASS_TYPE_DESC","OUT_CLCODE","OUT_CNTYNAME","OUT_CNTYNUM","OUT_FDICREGION","OUT_FDICREGION_DESC","OUT_INSAGENT1","OUT_INSAGENT2","OUT_INSTNAME","OUT_LATITUDE","OUT_LONGITUDE","OUT_ORGTYPE_NUM","OUT_PADDR","OUT_PCITY","OUT_PSTALP","OUT_PSTNUM","OUT_PZIP5","OUT_PZIPREST","OUT_REGAGENT","OUT_TRUST","OUT_UNINUM","PROCDATE","PROCYEAR","PSTALP","REGAGENT","REGAGENT_CHANGE_FLAG","RELOCATE_FLAG","REPORT_TYPE","STNUM","SUR_CERT","SUR_CHANGECODE","SUR_CHANGECODE_DESC","SUR_CHARTAGENT","SUR_CHARTER","SUR_CLASS","SUR_CLASS_TYPE","SUR_CLASS_TYPE_DESC","SUR_CLCODE","SUR_CNTYNAME","SUR_CNTYNUM","SUR_FDICREGION","SUR_FDICREGION_DESC","SUR_INSAGENT1","SUR_INSAGENT2","SUR_INSTNAME","SUR_LATITUDE","SUR_LONGITUDE","SUR_MADDR","SUR_MCITY","SUR_MSTALP","SUR_MSTATE","SUR_MZIP5","SUR_ORGTYPE_NUM","SUR_PADDR","SUR_PCITY","SUR_PSTALP","SUR_PSTNUM","SUR_PZIP5","SUR_PZIPREST","SUR_REGAGENT","SUR_TRUST","TRANSNUM","UNASSIST_COM_TO_COM_FLAG","UNASSIST_COM_TO_OTS_FLAG","UNASSIST_OTHER_TO_COM_FLAG","UNASSIST_OTS_TO_COM_FLAG","UNASSIST_OTS_TO_OTS_FLAG","UNINUM","VOLUNTARY_LIQUIDATION_FLAG","WITHDRAW_INSURANCE_COM_FLAG"
"67","/api/history?filters=TRANSNUM:200912969 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","31628","STATE","0","SM","C","Commercial","13","LOS ANGELES","37","14","SAN FRANCISCO","DIF","","East West Bank","34.148437","-118.141547","10","2007-08-18T00:00:00","135 N. LOS ROBLES AVENUE, 7TH FLOOR","PASADENA","CA","6","91101","0000","FED","","44462","0","Y","32469","211","FAILURE - WHOLE INSTITUTION","Failed. Merged with government financial assistance and became part of ,East West Bank, (,[object Object],) in ,Pasadena,, ,CA,. ,A link to FDIC closing information for ,United Commercial Bank, (,32469,):, ,[object Object]","0","0","0","0","SM","1","C","Commercial","2009-11-06T00:00:00","2009","9999-12-31T00:00:00","9999","1","0","0","0","0","NM","C","Commercial","DIF","0","0","10","CA","6","FDIC","200912969_211_45303_44462_45303","DIF","0","0","0","0","0","10","FI","N","32469","STATE","0","NM","C","Commercial","21","SAN FRANCISCO","75","14","SAN FRANCISCO","DIF","","United Commercial Bank","37.794277","-122.403122","10","555 MONTGOMERY STREET","SAN FRANCISCO","CA","6","94111","0000","FDIC","","45303","2009-11-09T00:00:00","2009","CA","FED","1","0","211","6","31628","811","FDIC ASSISTED MERGER","STATE","0","SM","C","Commercial","13","LOS ANGELES","37","14","SAN FRANCISCO","DIF","","East West Bank","34.148437","-118.141547","135 NORTH LOS ROBLES AVENUE","PASADENA","CA","CALIFORNIA","91101","10","135 N. LOS ROBLES AVENUE, 7TH FLOOR","PASADENA","CA","6","91101","0000","FED","","200912969","0","0","0","0","0","45303","0","0"
"11","/api/history?filters=TRANSNUM:200913093 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","28100","STATE","0","SM","C","Commercial","13","LAFAYETTE","55","13","DALLAS","DIF","","Iberiabank","30.226154","-92.018837","10","2009-11-13T00:00:00","200 WEST CONGRESS STREET","LAFAYETTE","LA","22","70501","0000","FED","","40934","0","Y","32267","211","FAILURE - WHOLE INSTITUTION","Failed. Merged with government financial assistance and became part of ,Iberiabank, (,[object Object],) in ,Lafayette,, ,LA,. ,A link to FDIC closing information for ,Century Bank, a Federal Savings Bank, (,32267,):, ,[object Object]","0","0","0","0","SM","1","C","Commercial","2009-11-13T00:00:00","2009","9999-12-31T00:00:00","9999","0","0","1","0","0","SB","S","Savings","DIF","0","0","115","FL","12","OTS","200913093_211_45101_40934_45101","DIF","0","0","0","0","0","10","FI","N","32267","OTS","0","SB","S","Savings","33","SARASOTA","115","5","ATLANTA","DIF","","Century Bank, a Federal Savings Bank","27.338733","-82.53664","115","1680 FRUITVILLE ROAD","SARASOTA","FL","12","34236","5826","OTS","","45101","2009-11-16T00:00:00","2009","LA","FED","1","1","211","22","28100","811","FDIC ASSISTED MERGER","STATE","0","SM","C","Commercial","13","LAFAYETTE","55","13","DALLAS","DIF","","Iberiabank","30.226154","-92.018837","200 WEST CONGRESS STREET","LAFAYETTE","LA","LOUISIANA","70501","10","200 WEST CONGRESS STREET","LAFAYETTE","LA","22","70501","0000","FED","","200913093","0","0","0","0","0","45101","0","0"
"23","/api/history?filters=TRANSNUM:200913095 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","28100","STATE","0","SM","C","Commercial","13","LAFAYETTE","55","13","DALLAS","DIF","","Iberiabank","30.226154","-92.018837","10","2009-11-13T00:00:00","200 WEST CONGRESS STREET","LAFAYETTE","LA","22","70501","0000","FED","","40934","0","Y","22427","211","FAILURE - WHOLE INSTITUTION","Failed. Merged with government financial assistance and became part of ,Iberiabank, (,[object Object],) in ,Lafayette,, ,LA,. ,A link to FDIC closing information for ,Orion Bank, (,22427,):, ,[object Object]","0","0","0","0","SM","0","C","Commercial","2009-11-13T00:00:00","2009","9999-12-31T00:00:00","9999","1","0","0","0","0","SM","C","Commercial","DIF","0","0","0","FL","0","FED","200913095_211_15626_40934_15626","DIF","0","0","0","0","0","10","FI","N","22427","STATE","0","SM","C","Commercial","13","COLLIER","21","5","ATLANTA","DIF","","Orion Bank","26.172671","-81.791293","10","2150 GOODLETTE ROAD NORTH","NAPLES","FL","12","34102","0000","FED","","15626","2009-11-16T00:00:00","2009","LA","FED","0","1","211","22","28100","811","FDIC ASSISTED MERGER","STATE","0","SM","C","Commercial","13","LAFAYETTE","55","13","DALLAS","DIF","","Iberiabank","30.226154","-92.018837","200 WEST CONGRESS STREET","LAFAYETTE","LA","LOUISIANA","70501","10","200 WEST CONGRESS STREET","LAFAYETTE","LA","22","70501","0000","FED","","200913095","0","0","0","0","0","15626","0","0"
"2","/api/history?filters=TRANSNUM:200913111 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","20164","STATE","0","NM","C","Commercial","21","ORANGE","59","14","SAN FRANCISCO","DIF","","Sunwest Bank","33.759719","-117.826177","10","2009-11-13T00:00:00","17542 EAST 17TH STREET","TUSTIN","CA","6","92780","0000","FDIC","","13857","0","Y","57914","211","FAILURE - WHOLE INSTITUTION","Failed. Merged with government financial assistance and became part of ,Sunwest Bank, (,[object Object],) in ,Tustin,, ,CA,. ,A link to FDIC closing information for ,Pacific Coast National Bank, (,57914,):, ,[object Object]","0","0","0","0","NM","1","C","Commercial","2009-11-13T00:00:00","2009","9999-12-31T00:00:00","9999","1","0","0","0","0","N","C","Commercial","DIF","0","0","10","CA","6","OCC","200913111_211_430468_13857_430468","DIF","0","0","0","0","0","10","FI","N","57914","OCC","24535","N","C","Commercial","3","ORANGE","59","14","SAN FRANCISCO","DIF","","Pacific Coast National Bank","33.449466","-117.607103","10","905 CALLE AMANECER, SUITE 100","SAN CLEMENTE","CA","6","92673","0000","OCC","","430468","2009-11-17T00:00:00","2009","CA","FDIC","1","0","211","6","20164","811","FDIC ASSISTED MERGER","STATE","0","NM","C","Commercial","21","ORANGE","59","14","SAN FRANCISCO","DIF","","Sunwest Bank","33.759719","-117.826177","P.O. BOX  1028","TUSTIN","CA","CALIFORNIA","92780","10","17542 EAST 17TH STREET","TUSTIN","CA","6","92780","0000","FDIC","","200913111","0","0","0","0","0","430468","0","0"
"1","/api/history?filters=TRANSNUM:200913236 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","27234","STATE","0","NM","C","Commercial","21","WASHINGTON","163","11","KANSAS CITY","DIF","","Central Bank","45.036634","-92.839259","10","2009-10-23T00:00:00","2270 FRONTAGE ROAD","STILLWATER","MN","27","55082","0000","FDIC","","39169","0","Y","58016","211","FAILURE - WHOLE INSTITUTION","Failed. Merged with government financial assistance and became part of ,Central Bank, (,[object Object],) in ,Stillwater,, ,MN,. ,A link to FDIC closing information for ,Commerce Bank of Southwest Florida, (,58016,):, ,[object Object]","0","0","0","0","NM","0","C","Commercial","2009-11-20T00:00:00","2009","9999-12-31T00:00:00","9999","1","0","0","0","0","NM","C","Commercial","DIF","0","0","0","FL","0","FDIC","200913236_211_433873_39169_433873","DIF","0","0","0","0","0","10","FI","N","58016","STATE","0","NM","C","Commercial","21","LEE","71","9","CHICAGO","DIF","","Commerce Bank of Southwest Florida","26.594119","-81.885238","10","1520 ROYAL PALM SQUARE BOULEVARD, SUITE 100","FORT MYERS","FL","12","33919","0000","FDIC","","433873","2009-11-23T00:00:00","2009","MN","FDIC","0","1","211","27","27234","811","FDIC ASSISTED MERGER","STATE","0","NM","C","Commercial","21","WASHINGTON","163","11","KANSAS CITY","DIF","","Central Bank","45.036634","-92.839259","945 WINNETKA AVENUE NORT, SUITE 145","GOLDEN VALLEY","MN","MINNESOTA","55427","10","2270 FRONTAGE ROAD","STILLWATER","MN","27","55082","0000","FDIC","","200913236","0","0","0","0","0","433873","0","0"
"5","/api/history?filters=TRANSNUM:200913627 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","3628","OCC","13684","N","C","Commercial","3","COOK","31","15","WASHINGTON","DIF","","MB Financial Bank, National Association","41.88179831383064","-87.64735644089579","10","2009-09-11T00:00:00","800 WEST MADISON STREET","CHICAGO","IL","17","60607","0000","OCC","Full","2312","0","Y","10440","211","FAILURE - WHOLE INSTITUTION","Failed. Merged with government financial assistance and became part of ,MB Financial Bank, National Association, (,[object Object],) in ,Chicago,, ,IL,. ,A link to FDIC closing information for ,Benchmark Bank, (,10440,):, ,[object Object]","0","0","0","0","N","1","C","Commercial","2009-12-04T00:00:00","2009","9999-12-31T00:00:00","9999","1","0","0","0","0","NM","C","Commercial","DIF","0","0","10","IL","17","FDIC","200913627_211_6674_2312_6674","DIF","0","0","0","0","0","10","FI","N","10440","STATE","0","NM","C","Commercial","21","KANE","89","9","CHICAGO","DIF","","Benchmark Bank","41.76496","-88.370073","10","ONE NORTH CONSTITUTION DRIVE","AURORA","IL","17","60506","0000","FDIC","","6674","2009-12-07T00:00:00","2009","IL","OCC","1","0","211","17","3628","811","FDIC ASSISTED MERGER","OCC","13684","N","C","Commercial","3","COOK","31","15","WASHINGTON","DIF","","MB Financial Bank, National Association","41.88179831383064","-87.64735644089579","800 WEST MADISON STREET","CHICAGO","IL","ILLINOIS","60607","10","800 WEST MADISON STREET","CHICAGO","IL","17","60607","0000","OCC","Full","200913627","0","0","0","0","0","6674","0","0"
"2","/api/history?filters=TRANSNUM:200913628 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","50028","STATE","0","SI","S","Savings","41","DOUGHERTY","95","5","ATLANTA","DIF","","Heritage Bank of the South","31.590653","-84.219211","115","2006-08-08T00:00:00","721 NORTH WESTOVER BOULEVARD","ALBANY","GA","13","31707","0000","FDIC","","114423","0","Y","12080","211","FAILURE - WHOLE INSTITUTION","Failed. Merged with government financial assistance and became part of ,Heritage Bank of the South, (,[object Object],) in ,Albany,, ,GA,. ,A link to FDIC closing information for ,The Tattnall Bank, (,12080,):, ,[object Object]","0","0","0","0","SI","1","S","Savings","2009-12-04T00:00:00","2009","9999-12-31T00:00:00","9999","0","0","0","0","0","NM","C","Commercial","DIF","0","0","0","GA","0","FDIC","200913628_211_7677_114423_7677","DIF","0","0","0","0","0","115","FI","N","12080","STATE","0","NM","C","Commercial","21","TATTNALL","267","5","ATLANTA","DIF","","The Tattnall Bank","32.086991","-82.118119","10","104 WEST MAIN STREET","REIDSVILLE","GA","13","30453","0000","FDIC","","7677","2009-12-07T00:00:00","2009","GA","FDIC","0","0","211","13","50028","811","FDIC ASSISTED MERGER","STATE","0","SI","S","Savings","41","DOUGHERTY","95","5","ATLANTA","DIF","","Heritage Bank of the South","31.590653","-84.219211","P.O. BOX 50728","ALBANY","GA","GEORGIA","31703","115","721 NORTH WESTOVER BOULEVARD","ALBANY","GA","13","31707","0000","FDIC","","200913628","0","0","0","0","0","7677","0","0"
"66","/api/history?filters=TRANSNUM:200913633 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","16022","STATE","0","SI","S","Savings","41","NASSAU","59","2","NEW YORK","DIF","","New York Community Bank","40.739153","-73.584147","115","2007-11-30T00:00:00","615 MERRICK AVENUE","WESTBURY","NY","36","11590","6644","FDIC","","10251","0","Y","29776","211","FAILURE - WHOLE INSTITUTION","Failed. Merged with government financial assistance and became part of ,New York Community Bank, (,[object Object],) in ,Westbury,, ,NY,. ,A link to FDIC closing information for ,AmTrust Bank, (,29776,):, ,[object Object]","0","0","0","0","SI","1","S","Savings","2009-12-04T00:00:00","2009","9999-12-31T00:00:00","9999","0","0","0","1","0","SB","S","Savings","DIF","0","0","115","OH","39","OTS","200913633_211_42610_10251_42610","DIF","0","0","0","0","0","115","FI","N","29776","OTS","0","SB","S","Savings","33","CUYAHOGA","35","9","CHICAGO","DIF","","AmTrust Bank","41.501773","-81.687985","115","1801 EAST NINTH STREET","CLEVELAND","OH","39","44114","3103","OTS","","42610","2009-12-07T00:00:00","2009","NY","FDIC","1","1","211","36","16022","811","FDIC ASSISTED MERGER","STATE","0","SI","S","Savings","41","NASSAU","59","2","NEW YORK","DIF","","New York Community Bank","40.739153","-73.584147","615 MERRICK AVENUE","WESTBURY","NY","NEW YORK","11590","115","615 MERRICK AVENUE","WESTBURY","NY","36","11590","6644","FDIC","","200913633","0","0","0","0","0","42610","0","0"
"8","/api/history?filters=TRANSNUM:200913636 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","57870","STATE","0","NM","C","Commercial","21","BIBB","21","5","ATLANTA","DIF","","State Bank and Trust Company","32.86635561722835","-83.69344160374123","10","2009-09-03T00:00:00","4219 FORSYTH ROAD","MACON","GA","13","31210","0000","FDIC","","428584","0","Y","34663","211","FAILURE - WHOLE INSTITUTION","Failed. Merged with government financial assistance and became part of ,State Bank and Trust Company, (,[object Object],) in ,Macon,, ,GA,. ,A link to FDIC closing information for ,The Buckhead Community Bank, (,34663,):, ,[object Object]","0","0","0","0","NM","0","C","Commercial","2009-12-04T00:00:00","2009","9999-12-31T00:00:00","9999","1","0","0","0","0","NM","C","Commercial","DIF","0","0","0","GA","0","FDIC","200913636_211_61115_428584_61115","DIF","0","0","0","0","0","10","FI","N","34663","STATE","0","NM","C","Commercial","21","FULTON","121","5","ATLANTA","DIF","","The Buckhead Community Bank","33.838276","-84.373896","10","415 EAST PACES FERRY ROAD","ATLANTA","GA","13","30305","0000","FDIC","","61115","2009-12-07T00:00:00","2009","GA","FDIC","0","0","211","13","57870","811","FDIC ASSISTED MERGER","STATE","0","NM","C","Commercial","21","BIBB","21","5","ATLANTA","DIF","","State Bank and Trust Company","32.86635561722835","-83.69344160374123","P.O. BOX 4748","MACON","GA","GEORGIA","31208","10","4219 FORSYTH ROAD","MACON","GA","13","31210","0000","FDIC","","200913636","0","0","0","0","0","61115","0","0"
"6","/api/history?filters=TRANSNUM:200913667 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","57968","STATE","0","SM","C","Commercial","13","FAIRFAX","59","5","ATLANTA","DIF","","SONABANK","38.934623","-77.179695","10","2009-09-28T00:00:00","6830 OLD DOMINION DRIVE","MCLEAN","VA","51","22101","0000","FED","","432804","0","Y","32583","211","FAILURE - WHOLE INSTITUTION","Failed. Merged with government financial assistance and became part of ,SONABANK, (,[object Object],) in ,Mclean,, ,VA,. ,A link to FDIC closing information for ,Greater Atlantic Bank, (,32583,):, ,[object Object]","0","0","0","0","SM","1","C","Commercial","2009-12-04T00:00:00","2009","9999-12-31T00:00:00","9999","0","0","1","0","0","SB","S","Savings","DIF","0","0","115","VA","51","OTS","200913667_211_45417_432804_45417","DIF","0","0","0","0","0","10","FI","N","32583","OTS","0","SB","S","Savings","33","FAIRFAX","59","5","ATLANTA","DIF","","Greater Atlantic Bank","38.942896","-77.314687","115","10700 PARKRIDGE BOULEVARD, SUITE P50","RESTON","VA","51","20191","0000","OTS","","45417","2009-12-07T00:00:00","2009","VA","FED","1","0","211","51","57968","811","FDIC ASSISTED MERGER","STATE","0","SM","C","Commercial","13","FAIRFAX","59","5","ATLANTA","DIF","","SONABANK","38.934692","-77.179659","10900 Nuckols Road, Suite 325","Glen Allen","VA","VIRGINIA","23060","10","6830 OLD DOMINION DRIVE","MCLEAN","VA","51","22101","0000","FED","","200913667","0","0","0","0","0","45417","0","0"
"4","/api/history?filters=TRANSNUM:200913770 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","57870","STATE","0","NM","C","Commercial","21","BIBB","21","5","ATLANTA","DIF","","State Bank and Trust Company","32.86635561722835","-83.69344160374123","10","2009-09-03T00:00:00","4219 FORSYTH ROAD","MACON","GA","13","31210","0000","FDIC","","428584","0","Y","26290","211","FAILURE - WHOLE INSTITUTION","Failed. Merged with government financial assistance and became part of ,State Bank and Trust Company, (,[object Object],) in ,Macon,, ,GA,. ,A link to FDIC closing information for ,First Security National Bank, (,26290,):, ,[object Object]","0","0","0","0","NM","1","C","Commercial","2009-12-04T00:00:00","2009","9999-12-31T00:00:00","9999","1","0","0","0","0","N","C","Commercial","DIF","0","0","0","GA","0","OCC","200913770_211_32687_428584_32687","DIF","0","0","0","0","0","10","FI","N","26290","OCC","0","N","C","Commercial","3","GWINNETT","135","5","ATLANTA","DIF","","First Security National Bank","33.951011","-84.234591","10","6170 PEACHTREE PARKWAY AT PEACHTREE CORNERS","NORCROSS","GA","13","30092","0000","OCC","","32687","2009-12-09T00:00:00","2009","GA","FDIC","1","0","211","13","57870","811","FDIC ASSISTED MERGER","STATE","0","NM","C","Commercial","21","BIBB","21","5","ATLANTA","DIF","","State Bank and Trust Company","32.86635561722835","-83.69344160374123","P.O. BOX 4748","MACON","GA","GEORGIA","31208","10","4219 FORSYTH ROAD","MACON","GA","13","31210","0000","FDIC","","200913770","0","0","0","0","0","32687","0","0"
"1","/api/history?filters=TRANSNUM:200913898 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","27237","STATE","0","NM","C","Commercial","21","ST. LOUIS","189","11","KANSAS CITY","DIF","","Enterprise Bank & Trust","38.653338","-90.339162","10","2008-06-26T00:00:00","150 NORTH MERAMEC","CLAYTON","MO","29","63105","3704","FDIC","Limited","39176","0","Y","58399","211","FAILURE - WHOLE INSTITUTION","Failed. Merged with government financial assistance and became part of ,Enterprise Bank & Trust, (,[object Object],) in ,Clayton,, ,MO,. ,A link to FDIC closing information for ,Valley Capital Bank, National  Association, (,58399,):, ,[object Object]","0","0","0","0","NM","1","C","Commercial","2009-12-11T00:00:00","2009","9999-12-31T00:00:00","9999","1","0","0","0","0","N","C","Commercial","DIF","0","0","0","AZ","0","OCC","200913898_211_450796_39176_450796","DIF","0","0","0","0","0","10","FI","N","58399","OCC","0","N","C","Commercial","3","MARICOPA","13","9","CHICAGO","DIF","","Valley Capital Bank, National  Association","33.381203","-111.806909","10","1910 SOUTH STAPLEY DRIVE","MESA","AZ","4","85204","0000","OCC","","450796","2009-12-14T00:00:00","2009","MO","FDIC","1","1","211","29","27237","811","FDIC ASSISTED MERGER","STATE","0","NM","C","Commercial","21","ST. LOUIS","189","11","KANSAS CITY","DIF","","Enterprise Bank & Trust","38.653338","-90.339162","150 NORTH MERAMEC AVENUE","CLAYTON","MO","MISSOURI","63105","10","150 NORTH MERAMEC","CLAYTON","MO","29","63105","3704","FDIC","Limited","200913898","0","0","0","0","0","450796","0","0"
"7","/api/history?filters=TRANSNUM:200913899 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","8728","STATE","0","SM","C","Commercial","13","WASHINGTON","143","13","DALLAS","DIF","","Arvest Bank","36.063392","-94.159747","10","2009-11-07T00:00:00","75 NORTH EAST STREET","FAYETTEVILLE","AR","5","72701","0000","FED","Full","5559","0","Y","4731","211","FAILURE - WHOLE INSTITUTION","Failed. Merged with government financial assistance and became part of ,Arvest Bank, (,[object Object],) in ,Fayetteville,, ,AR,. ,A link to FDIC closing information for ,SolutionsBank, (,4731,):, ,[object Object]","0","0","0","0","SM","0","C","Commercial","2009-12-11T00:00:00","2009","9999-12-31T00:00:00","9999","1","0","0","0","0","SM","C","Commercial","DIF","0","0","0","KS","0","FED","200913899_211_3150_5559_3150","DIF","0","0","0","0","0","10","FI","N","4731","STATE","0","SM","C","Commercial","13","JOHNSON","91","11","KANSAS CITY","DIF","","SolutionsBank","38.883551","-94.672433","10","7401 WEST 135TH STREET","OVERLAND PARK","KS","20","66223","0000","FED","None","3150","2009-12-14T00:00:00","2009","AR","FED","0","1","211","5","8728","811","FDIC ASSISTED MERGER","STATE","0","SM","C","Commercial","13","WASHINGTON","143","13","DALLAS","DIF","","Arvest Bank","36.06337924326694","-94.15969167059245","P.O. Box 799","Lowell","AR","ARKANSAS","72745","10","75 NORTH EAST STREET","FAYETTEVILLE","AR","5","72701","0000","FED","Full","200913899","0","0","0","0","0","3150","0","0"
"5","/api/history?filters=TRANSNUM:200913916 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","35408","STATE","0","SM","C","Commercial","13","PALM BEACH","99","5","ATLANTA","DIF","","1st United Bank","26.35054","-80.086565","10","2008-08-15T00:00:00","ONE NORTH FEDERAL HIGHWAY","BOCA RATON","FL","12","33432","0000","FED","","79513","0","Y","22846","211","FAILURE - WHOLE INSTITUTION","Failed. Merged with government financial assistance and became part of ,1st United Bank, (,[object Object],) in ,Boca Raton,, ,FL,. ,A link to FDIC closing information for ,Republic Federal Bank, National Association, (,22846,):, ,[object Object]","0","0","0","0","SM","1","C","Commercial","2009-12-11T00:00:00","2009","9999-12-31T00:00:00","9999","1","0","0","0","0","N","C","Commercial","DIF","0","0","10","FL","12","OCC","200913916_211_15962_79513_15962","DIF","0","0","0","0","0","10","FI","N","22846","OCC","16776","N","C","Commercial","3","MIAMI-DADE","86","5","ATLANTA","DIF","","Republic Federal Bank, National Association","25.809646","-80.335819","10","8600 NW 36TH STREET, SUITE 800","MIAMI","FL","12","33166","0000","OCC","","15962","2009-12-14T00:00:00","2009","FL","FED","1","0","211","12","35408","811","FDIC ASSISTED MERGER","STATE","0","SM","C","Commercial","13","PALM BEACH","99","5","ATLANTA","DIF","","1st United Bank","26.35054","-80.086565","ONE NORTH FEDERAL HIGHWAY","BOCA RATON","FL","FLORIDA","33432","10","ONE NORTH FEDERAL HIGHWAY","BOCA RATON","FL","12","33432","0000","FED","","200913916","0","0","0","0","0","15962","0","0"
"12","/api/history?filters=TRANSNUM:200914067 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","17281","OCC","14695","N","C","Commercial","3","LOS ANGELES","37","14","SAN FRANCISCO","DIF","","City National Bank","34.05077751017501","-118.2569177912224","10","2009-11-17T00:00:00","555 S. FLOWER STREET","LOS ANGELES","CA","6","90071","0000","OCC","Full","11300","0","Y","26348","211","FAILURE - WHOLE INSTITUTION","Failed. Merged with government financial assistance and became part of ,City National Bank, (,[object Object],) in ,Los Angeles,, ,CA,. ,A link to FDIC closing information for ,Imperial Capital Bank, (,26348,):, ,[object Object]","0","0","0","0","N","1","C","Commercial","2009-12-18T00:00:00","2009","9999-12-31T00:00:00","9999","1","0","0","0","0","NM","C","Commercial","DIF","0","0","0","CA","0","FDIC","200914067_211_32891_11300_32891","DIF","0","0","0","0","0","10","FI","N","26348","STATE","0","NM","C","Commercial","21","SAN DIEGO","73","14","SAN FRANCISCO","DIF","","Imperial Capital Bank","32.8465","-117.275755","10","888 PROSPECT STREET, SUITE 110","LA JOLLA","CA","6","92037","0000","FDIC","","32891","2009-12-22T00:00:00","2009","CA","OCC","1","0","211","6","17281","811","FDIC ASSISTED MERGER","OCC","14695","N","C","Commercial","3","LOS ANGELES","37","14","SAN FRANCISCO","DIF","","City National Bank","34.05077751017501","-118.2569177912224","555 S. FLOWER STREET","LOS ANGELES","CA","CALIFORNIA","90071","10","555 S. FLOWER STREET","LOS ANGELES","CA","6","90071","0000","OCC","Full","200914067","0","0","0","0","0","32891","0","0"
